id_loja|tipo_loja|cidade|estado|rua|bairro_distrito|venda
8284217775413287225|TIPO 2|CURITIBA|PR|R LOTHARIO BOUTIN,554,TERREO|PINHEIRINHO|867971.54
1519713449164806218|TIPO 1|GOIANIA|GO|RUA JOSE HERMANO,316,QD94 LT2|SETOR CAMPINAS|760890.46
5693301361998220299|TIPO 2|CURITIBA|PR|AV JK DE OILIVEIRA,2651,|CIDADE INDUSTRIAL|720469.26
3401662018887541515|TIPO 4|BRASILIA|DF|Q QNN,30,AREA ESPECIAL K|CEILANDIA SUL CEILANDIA|608302.31
4319161038439191943|TIPO 2|CAMPINAS|SP|ROD DOM PEDRO I,SN,KM 140|JD STA GENEBRA|581054.25
8311622818694863841|TIPO 2|CURITIBA|PR|AV CAVIUNA,472,|BAIRRO ALTO|559678.19
5311195433705419620|TIPO 6|CURITIBA|PR|NILO PECANHA,1000,|CENTRO CIVICO|542653.21
2418948876486555036|TIPO 4|BRASILIA|DF|A POLO DE DESENVOLVIMENTO KUBIT,2,|SANTA MARIA|523865.43
7940631428939265070|TIPO 4|BRASILIA|DF|ROD DF 150,SN,KM 04 05 CHACARA|SOBRADINHO|508414.56
5844007748604385146|TIPO 6|BRASILIA|DF|AV SHIN EPPN COM VIZ,SN,CJ 10 LT 90|LAGO NORTE|471237.53
8472871709932132250|TIPO 2|GUARULHOS|SP|ROD PRESIDENT DUTRA,SN,KM 213|CUMBICA|468142.92
346082683528910827|TIPO 6|BRASILIA|DF|SHIN EPPN CANTEIRO CENT LT06 LJ,18,|LAGO NORTE|462766.7
782493281059132214|TIPO 6|BRASILIA|DF|CNB 12 LOTE 04,SN,|TAGUATINGA NORTE (TAGUATINGA)|458759.68
1690993701650133367|TIPO 2|GUARULHOS|SP|AV OTAVIO BRAGA DE MESQUITA,3116,|JD SAO GERALDO|458076.38
6596093122023091682|TIPO 6|BRASILIA|DF|SHCS EQ 412 413 BLOCO A,SN,|ASA SUL|428709.61
8216275996657101|TIPO 2|PORTO ALEGRE|RS|AV SERTORIO,6767,|SARANDI|410450.88
259822086483684699|TIPO 6|CURITIBA|PR|R EDUARDO CARLOS PEREIRA,3605,TER|PORTAO|406741.72
